***
*
*  Exported on: 03.02.2018
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP WAYPOINTS EXPORT
*
* VERSION= 1786539
*
**************************
56,19:50:60N,101:01:30W,1839.0M,A,GENERAL FRANCISCO J MUJICA INTERNATIONAL,|MMMM,
57,19:08:45N,96:11:14W,27.0M,A,GENERAL HERIBERTO JARA INTERNATIONAL AIR,118.500|MMVR,
58,29:05:45N,111:02:53W,191.0M,A,GENERAL IGNACIO P GARCIA INTERNATIONAL A,118.7|MMHO,
59,27:58:08N,110:55:30W,18.0M,A,GENERAL JOSé MARíA YáñEZ INTERNATIONAL A,118.6|MMGM,
60,16:45:26N,99:45:14W,5.0M,A,GENERAL JUAN N ALVAREZ INTERNATIONAL AIR,118.5|MMAA,
61,22:53:50N,102:41:13W,2177.0M,A,GENERAL LEOBARDO C RUIZ INTERNATIONAL AI,118|MMZC,
62,26:00:32N,98:13:43W,42.0M,A,GENERAL LUCIO BLANCO INTERNATIONAL AIRPO,|MMRX,
63,24:04:22N,110:21:43W,21.0M,A,GENERAL MANUEL MARQUEZ DE LEON INTERNATI,118.1|MMLP,
64,25:46:43N,100:06:25W,390.0M,A,GENERAL MARIANO ESCOBEDO INTERNATIONAL A,118.1|MMMY,
65,18:50:05N,99:15:41W,1304.0M,A,GENERAL MARIANO MATAMOROS AIRPORT,118.35|MMCB,
66,23:42:12N,98:57:23W,232.0M,A,GENERAL PEDRO JOSE MENDEZ INTERNATIONAL ,118.2|MMCV,
67,23:09:41N,106:15:58W,12.0M,A,GENERAL RAFAEL BUELNA INTERNATIONAL AIRP,118.3|MMMZ,
68,28:42:10N,105:57:54W,1360.0M,A,GENERAL R FIERRO VILLALOBOS INTERNATIONA,118.4|MMCU,
69,32:37:50N,115:14:31W,23.0M,A,GENERAL RODOLFO SANCHEZ TABOADA INTERNAT,118.2|MMML,
70,25:46:12N,97:31:31W,8.0M,A,GENERAL SERVANDO CANALES INTERNATIONAL A,|MMMA,
71,25:26:19N,108:05:31W,24.0M,A,GUAMUCHIL AIRPORT,|,
72,20:55:02N,101:20:02W,1875.0M,A,GUANAJUATO AIRPORT,|MMGT,
73,20:59:37N,101:28:52W,1815.0M,A,GUANAJUATO INTERNATIONAL AIRPORT,118.35|MMLO,
74,28:01:34N,114:01:26W,18.0M,A,GUERRERO NEGRO AIRPORT,|MMGR,
75,19:09:29N,98:22:17W,2244.0M,A,HERMANOS SERDAN INTERNATIONAL AIRPORT,|MMPB,
76,18:31:39N,100:51:04W,300.0M,A,HUETAMO AIRPORT,|,
77,19:49:00N,90:30:01W,10.0M,A,INGENIERO ALBERTO ACUNA ONGAY INTERNATIO,118.5|MMCP,
78,20:04:39N,98:46:57W,2316.0M,A,INGENIERO JUAN GUILLERMO VILLASANA AIRPO,|MMPC,
79,28:02:15N,115:11:24W,30.0M,A,ISLA CEDROS AIRPORT,|,
80,21:14:42N,86:44:24W,2.0M,A,ISLA MUJERES AIRPORT,|MMIM,
81,18:46:27N,110:55:48W,331.0M,A,ISLA SOCORRO AIRPORT,|,
82,20:29:10N,99:15:32W,1700.0M,A,IXMIQUILPAN AIRPORT,|,
83,17:36:06N,101:27:40W,8.0M,A,IXTAPA ZIHUATANEJO INTERNATIONAL AIRPORT,118.3|MMZH,
84,16:26:57N,95:05:37W,50.0M,A,IXTEPEC AIRPORT,118.45|MMIT,
85,25:31:35N,103:31:05W,1134.0M,A,J AGUSTIN CASTRO AIRPORT,|,
86,19:51:05N,101:45:07W,1950.0M,A,JAUJILLA AIRPORT,|,
87,21:42:20N,102:19:05W,1863.0M,A,JESUS TERAN INTERNATIONAL AIRPORT,118.6|MMAS,
88,27:01:26N,103:22:30W,1052.0M,A,LAGUNA DEL REY AIRPORT,|,
89,26:51:05N,113:08:25W,6.0M,A,LAGUNA SAN IGNACIO AIRPORT,|,
90,23:48:08N,97:46:25W,5.0M,A,LA PESCA AIRPORT,|,
91,23:57:59N,98:50:05W,610.0M,A,LA RETAMA SOUTHWEST AIRPORT,|,
92,28:12:47N,105:26:53W,1185.0M,A,LAS DELICIAS AIRPORT,|,
93,18:00:06N,102:13:16W,12.0M,A,LAZARO CARDENAS AIRPORT,|MMLC,
94,19:28:30N,96:47:51W,953.0M,A,LENCERO AIRPORT,|MMJA,
95,16:54:37N,99:59:19W,6.0M,A,LEON GONZALES PIE DE LA CUESTA AIRPORT,|,
96,19:20:14N,99:33:58W,2580.0M,A,LICENCIADO ADOLFO LOPEZ MATEOS INTERNATI,118|MMTO,
97,20:40:48N,105:15:14W,7.0M,A,LICENCIADO GUSTAVO DíAZ ORDAZ INTERNATIO,118.5|MMPR,
98,20:56:13N,89:39:28W,12.0M,A,LICENCIADO MANUEL CRESCENCIO REJON INT A,126.9|MMMD,
99,19:23:48N,102:02:20W,1603.0M,A,LICENCIADO Y GENERAL IGNACIO LOPEZ RAYON,118.2|MMPN,
100,25:59:21N,111:20:53W,10.0M,A,LORETO INTERNATIONAL AIRPORT,118.4|MMLT,
101,23:09:06N,109:43:16W,114.0M,A,LOS CABOS INTERNATIONAL AIRPORT,118.9|MMSD,
102,31:21:06N,113:18:21W,22.0M,A,MAR DE CORTéS INTERNATIONAL AIRPORT,|,
103,23:40:36N,100:37:23W,1560.0M,A,MATEHUALA AIRPORT,|,
104,30:58:31N,115:44:16W,653.0M,A,MELING RANCH AIRSTRIP,|,
105,19:26:11N,99:04:20W,2230.0M,A,MEXICO CITY,118.100|MMMX,
106,28:02:12N,103:46:16W,1314.0M,A,MINA HERCULES AIRPORT,|,
107,18:06:12N,94:34:51W,11.0M,A,MINATITLAN AIRPORT,118.1|MMMT,
108,26:57:21N,101:28:12W,568.0M,A,MONCLOVA INTERNATIONAL AIRPORT,|MMMV,
109,26:53:50N,111:57:27W,43.0M,A,MULEGE AIRPORT,|MMMG,
110,27:51:23N,101:31:34W,533.0M,A,MUZQUIZ NEW AIRPORT,|,
111,26:59:32N,109:24:58W,299.0M,A,NAVOJOA AIRPORT,|,
112,31:13:34N,110:58:34W,1216.0M,A,NOGALES INTERNATIONAL AIRPORT,|MMNG,
113,30:23:51N,107:52:30W,1478.0M,A,NUEVO CASAS GRANDES AIRPORT,|MMCG,
114,24:03:41N,98:24:56W,146.0M,A,NUEVO DOLORES AIRPORT,|,
115,19:05:36N,102:23:38W,315.0M,A,PABLO L. SIDAR AIRPORT,|,
116,17:32:00N,91:59:04W,61.0M,A,PALENQUE INTERNATIONAL AIRPORT,|MMPQ,
117,26:55:20N,105:46:55W,1818.0M,A,PARRAL AIRPORT,|,
118,28:37:39N,100:32:06W,275.0M,A,PIEDRAS NEGRAS INTERNATIONAL AIRPORT,|MMPG,
119,16:21:00N,98:03:43W,223.0M,A,PINOTEPA NACIONAL AIRPORT,|,
120,25:32:58N,100:55:44W,1456.0M,A,PLAN DE GUADALUPE INTERNATIONAL AIRPORT,118.4|MMIO,
121,20:37:21N,87:04:56W,9.0M,A,PLAYA DEL CARMEN AIRPORT,|,
122,19:08:41N,104:33:32W,9.0M,A,PLAYA DE ORO INTERNATIONAL AIRPORT,|MMZO,
123,22:15:15N,100:55:52W,1839.0M,A,PONCIANO ARRIAGA INTERNATIONAL AIRPORT,|MMSP,
124,15:52:37N,97:05:21W,90.0M,A,PUERTO ESCONDIDO INTERNATIONAL AIRPORT,118.9|MMPS,
125,29:55:47N,112:39:22W,45.0M,A,PUERTO LIBERTAD NORTH AIRPORT,|,
